episode,total_reward,total_time_steps,num_agents,n_packages,max_steps,map,lr_actor,lr_critic
271,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
272,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
273,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
274,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
275,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
276,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
277,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
278,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
279,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
280,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
281,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
282,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
283,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
284,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
285,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
286,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
287,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
288,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
289,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
290,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
291,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
292,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
293,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
294,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
295,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
296,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
297,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
298,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
299,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
300,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
301,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
302,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
303,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
304,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
